// *********** delikatesy woronicza- Kolberga 7 ****************
250.0;1250.0;200.0;700.0;1250.0;200.0
250.0;1250.0;200.0;250.0;1250.0;350.0
700.0;1250.0;200.0;700.0;1250.0;350.0
700.0;1250.0;200.0;700.0;1500.0;200.0
250.0;1250.0;200.0;250.0;1500.0;200.0
250.0;1500.0;200.0;250.0;1500.0;350.0
250.0;1250.0;350.0;250.0;1500.0;350.0
250.0;1250.0;350.0;700.0;1250.0;350.0
250.0;1500.0;350.0;700.0;1500.0;350.0
700.0;1500.0;350.0;700.0;1250.0;350.0
700.0;1500.0;350.0;700.0;1500.0;200.0
700.0;1500.0;200.0;250.0;1500.0;200.0
//
// ********** Joliot Curie 2 *************
// podloga
750.0;1350.0;200;1000.0;1350.0;200
1000.0;1350.0;200;1000.0;1600.0;200
750.0;1350.0;200;750.0;1600.0;200
750.0;1600.0;200;1000.0;1600.0;200 
// sciany
750.0;1350.0;200;750.0;1350.0;500
1000.0;1350.0;200;1000.0;1350.0;500
1000.0;1600.0;200;1000.0;1600.0;500
750.0;1600.0;200;750.0;1600.0;500
// sufit
750.0;1350.0;500;1000.0;1350.0;500
1000.0;1350.0;500;1000.0;1600.0;500
750.0;1350.0;500;750.0;1600.0;500
750.0;1600.0;500;1000.0;1600.0;500 
